name;link
Xadrez Verbal Podcast #186 – Irã, América Latina e giro pela Ásia ;https://xadrezverbal.com/2019/05/11/xadrez-verbal-podcast-186-ira-america-latina-e-giro-pela-asia/
Xadrez Verbal Podcast #185 – EUA, Venezuela e eleições na Espanha ;https://xadrezverbal.com/2019/05/04/xadrez-verbal-podcast-185-eua-venezuela-e-eleicoes-na-espanha/
Xadrez Verbal Podcast #184 – Ucrânia, Sri Lanka e Kim com Putin ;https://xadrezverbal.com/2019/04/27/xadrez-verbal-podcast-184-ucrania-sri-lanka-e-kim-com-putin/
Xadrez Verbal Podcast #183 – EUA, Notre Dame e Peru ;https://xadrezverbal.com/2019/04/19/xadrez-verbal-podcast-183-eua-notre-dame-e-peru/
Xadrez Verbal Podcast #182 – Sudão, caso Assange e eleições em Israel ;https://xadrezverbal.com/2019/04/13/xadrez-verbal-podcast-182-sudao-caso-assange-e-eleicoes-em-israel/
Xadrez Verbal Podcast #181 – Bolsonaro em Israel e eleições pelo mundo ;https://xadrezverbal.com/2019/04/06/xadrez-verbal-podcast-181-bolsonaro-em-israel-e-eleicoes-pelo-mundo/
Xadrez Verbal Podcast #180 – Brexit, colinas de Golã e China-Europa ;https://xadrezverbal.com/2019/03/29/xadrez-verbal-podcast-180-brexit-colinas-de-gola-e-china-europa/
Xadrez Verbal Podcast #179 – Bolsonaro e Trump ;https://xadrezverbal.com/2019/03/23/xadrez-verbal-podcast-179-bolsonaro-e-trump/
Xadrez Verbal Podcast #178 – Oriente Médio, Brexit e Bolsonaro nos EUA ;https://xadrezverbal.com/2019/03/15/xadrez-verbal-podcast-178-oriente-medio-brexit-e-bolsonaro-nos-eua/
Xadrez Verbal Podcast #177 – Eleições na Estônia, EUA e América Latina ;https://xadrezverbal.com/2019/03/09/xadrez-verbal-podcast-177-eleicoes-na-estonia-eua-e-america-latina/
Xadrez Verbal Podcast #176 – Caxemira, Venezuela e Trump com Kim ;https://xadrezverbal.com/2019/03/02/xadrez-verbal-podcast-176-caxemira-venezuela-e-trump-com-kim/
Xadrez Verbal Podcast #175 – EUA, Espanha e Venezuela ;https://xadrezverbal.com/2019/02/23/xadrez-verbal-podcast-175-eua-espanha-e-venezuela/
Xadrez Verbal Podcast #174 – State of the Union, Venezuela e Europa ;https://xadrezverbal.com/2019/02/08/xadrez-verbal-podcast-174-state-of-the-union-venezuela-e-europa/
Xadrez Verbal Podcast #173 – Emendas do Brexit, EUA e Venezuela ;https://xadrezverbal.com/2019/02/01/xadrez-verbal-podcast-173-emendas-do-brexit-eua-e-venezuela/
Xadrez Verbal Podcast #172 – Venezuela, Brasil em Davos e Europa ;https://xadrezverbal.com/2019/01/25/xadrez-verbal-podcast-172-venezuela-brasil-em-davos-e-europa/
Xadrez Verbal Podcast #171 – O mundo inteiro na volta das férias! ;https://xadrezverbal.com/2019/01/19/xadrez-verbal-podcast-171-o-mundo-inteiro-na-volta-das-ferias/
Xadrez Verbal Podcast #170 – Relações EUA-Cuba, Síria e América Latina ;https://xadrezverbal.com/2018/12/21/xadrez-verbal-podcast-170-relacoes-eua-cuba-siria-e-america-latina/
Xadrez Verbal Podcast #169 – Armênia, Brexit e casos de espionagem ;https://xadrezverbal.com/2018/12/15/xadrez-verbal-podcast-169-armenia-brexit-e-casos-de-espionagem/
Xadrez Verbal Podcast #168 – G-20, França e Oriente Médio ;https://xadrezverbal.com/2018/12/07/xadrez-verbal-podcast-168-g-20-franca-e-oriente-medio/
Xadrez Verbal Podcast #167 – Jeff Nascimento, G20 e América Latina ;https://xadrezverbal.com/2018/11/30/xadrez-verbal-podcast-167-jeff-nascimento-g20-e-america-latina/
Xadrez Verbal Podcast #166 – Chanceler no Brasil, Ásia e Brexit ;https://xadrezverbal.com/2018/11/24/xadrez-verbal-podcast-166-chanceler-no-brasil-asia-e-brexit/
Xadrez Verbal Podcast #165 – Eleição nos EUA, referendos e América Latina ;https://xadrezverbal.com/2018/11/10/xadrez-verbal-podcast-165-eleicao-nos-eua-referendos-e-america-latina/
Xadrez Verbal Podcast #164 – Bolsonaro no Brasil, sul da Ásia e EUA ;https://xadrezverbal.com/2018/11/02/xadrez-verbal-podcast-164-bolsonaro-no-brasil-sul-da-asia-e-eua/
Xadrez Verbal Podcast #163 – Caso Khashoggi, Extremo Oriente e EUA ;https://xadrezverbal.com/2018/10/27/xadrez-verbal-podcast-163-caso-khashoggi-extremo-oriente-e-eua/
Xadrez Verbal Podcast #162 – Sauditas e América Latina ;https://xadrezverbal.com/2018/10/19/xadrez-verbal-podcast-162-sauditas-e-america-latina/
Xadrez Verbal Podcast #161 – Arábia Saudita, América Latina e Oriente ;https://xadrezverbal.com/2018/10/12/xadrez-verbal-podcast-161-arabia-saudita-america-latina-e-oriente/
Xadrez Verbal Podcast #160 – Macedônia, América Latina e 73ª AGNU ;https://xadrezverbal.com/2018/10/05/xadrez-verbal-podcast-160-macedonia-america-latina-e-73a-agnu/
Xadrez Verbal Podcast #159 – 73ª Assembleia Geral da ONU ;https://xadrezverbal.com/2018/09/28/xadrez-verbal-podcast-159-73a-assembleia-geral-da-onu/
Xadrez Verbal Podcast #158 – Coreia, Venezuela e Oriente Médio ;https://xadrezverbal.com/2018/09/21/xadrez-verbal-podcast-158-coreia-venezuela-e-oriente-medio/
Xadrez Verbal Podcast #157 – Europa, América Latina e países bálticos ;https://xadrezverbal.com/2018/09/14/xadrez-verbal-podcast-157-europa-america-latina-e-paises-balticos/
Xadrez Verbal Podcast #156 – EUA, América Latina e o Museu Nacional ;https://xadrezverbal.com/2018/09/07/xadrez-verbal-podcast-156-eua-america-latina-e-o-museu-nacional/
Xadrez Verbal Podcast #155 – Nafta, África e Europa ;https://xadrezverbal.com/2018/08/31/xadrez-verbal-podcast-155-nafta-africa-e-europa/
Xadrez Verbal Podcast #154 – Venezuelanos no Brasil, França e EUA ;https://xadrezverbal.com/2018/08/24/xadrez-verbal-podcast-154-venezuelanos-no-brasil-franca-e-eua/
Xadrez Verbal Podcast #153 – Turquia, Mar Cáspio e América Latina ;https://xadrezverbal.com/2018/08/17/xadrez-verbal-podcast-153-turquia-mar-caspio-e-america-latina/
Xadrez Verbal Podcast #152 – Venezuela, Oriente Médio e América Latina ;https://xadrezverbal.com/2018/08/10/xadrez-verbal-podcast-152-venezuela-oriente-medio-e-america-latina/
Xadrez Verbal Podcast #151 – Paquistão, EUA, África e BRICS ;https://xadrezverbal.com/2018/08/03/xadrez-verbal-podcast-151-paquistao-eua-africa-e-brics/
Xadrez Verbal Podcast #150 – Israel, América Latina e cúpula Trump-Putin ;https://xadrezverbal.com/2018/07/20/xadrez-verbal-podcast-150-israel-america-latina-e-cupula-trump-putin/
Xadrez Verbal Podcast #149 – OTAN, Ásia e paz entre Etiópia e Eritreia ;https://xadrezverbal.com/2018/07/13/xadrez-verbal-podcast-149-otan-asia-e-paz-entre-etiopia-e-eritreia/
